word	phones
insulted	ɪ n s ʌ l t ɪ d
idaho	aɪ d ə h oʊ
anew	ə n uː
troubles	t ɹ ʌ b ə l z
glee	ɡ l iː
doodles	d uː d ə l z
cheesy	tʃ iː z iː
utah	j uː t ɔ
absurd	ə b s ɜː d
teased	t iː z d
taunted	t ɔ n t ɪ d
wyoming	w aɪ oʊ m ɪ ŋ
tended	t ɛ n d ɪ d
typing	t aɪ p ɪ ŋ
hunters	h ʌ n t ə ɹ z
contest	k ɑ n t ɛ s t
yoyos	j oʊ j oʊ z
connecticut	k ə n ɛ t ə k ə t
men's	m ɛ n z
surprising	s ə ɹ p ɹ aɪ z ɪ ŋ
aiming	eɪ m ɪ ŋ
rifles	ɹ aɪ f ə l z
tippy	t ɪ p iː
zug	z ʌ ɡ
remembering	ɹ ɪ m ɛ m b ə ɹ ɪ ŋ
ridding	ɹ ɪ d ɪ ŋ
hampshire	h æ m p ʃ ə ɹ
vermont	v ə ɹ m ɑ n t
guns	ɡ ʌ n z
ropes	ɹ oʊ p s
dug	d ʌ ɡ
practically	p ɹ æ k t ɪ k l iː
majestic	m ə dʒ ɛ s t ɪ k
mar	m ɑ ɹ
england	ɪ ŋ ɡ l ə n d
robin's	ɹ ɑ b ə n z
gardens	ɡ ɑ ɹ d ə n z
windsor	w ɪ n z ə ɹ
greeted	ɡ ɹ iː t ə d
exclaimed	ɪ k s k l eɪ m d
mailman	m eɪ l m æ n
outdoor	aʊ t d ɔ ɹ
biddy	b ɪ d iː
itty	ɪ t iː
colorado	k ɑ l ə ɹ ɑ d oʊ
treasures	t ɹ ɛ ʒ ə ɹ z
montana	m ɑ n t æ n ə
kansas	k æ n z ə s
drugged	d ɹ ʌ ɡ d
nebraska	n ə b ɹ æ s k ə
california	k æ l ə f ɔ ɹ n j ə
dakota	d ə k oʊ t ə
south	s aʊ θ
laying	l eɪ ɪ ŋ
carolina	k ɛ ɹ ə l aɪ n ə
sprung	s p ɹ ʌ ŋ
cafe	k ə f eɪ
evenings	iː v n ɪ ŋ z
tossing	t ɔ s ɪ ŋ
tennessee	t ɛ n ə s iː
productive	p ɹ ə d ʌ k t ɪ v
similar	s ɪ m ə l ə ɹ
steven	s t iː v ə n
kenny	k ɛ n iː
arkansas	ɑ ɹ k ə n s ɑ
detail	d ɪ t eɪ l
missouri	m ə z ʊ ɹ iː
iowa	aɪ ə w ə
port	p ɔ ɹ t
bobbing	b ɑ b ɪ ŋ
respect	ɹ ɪ s p ɛ k t
handled	h æ n d ə l d
greek	ɡ ɹ iː k
features	f iː tʃ ə ɹ z
pride	p ɹ aɪ d
storage	s t ɔ ɹ ə dʒ
corners	k ɔ ɹ n ə ɹ z
rested	ɹ ɛ s t ə d
borders	b ɔ ɹ d ə ɹ z
minnesota	m ɪ n ɪ s oʊ t ə
ohio	oʊ h aɪ oʊ
peered	p ɪ ɹ d
indiana	ɪ n d iː æ n ə
illinois	ɪ l ə n ɔɪ
perch	p ɜː tʃ
norman's	n ɔ ɹ m ə n z
hesitated	h ɛ z ɪ t eɪ t ɪ d
scarcely	s k ɛ ɹ s l iː
wisconsin	w ɪ s k ɑ n s ə n
visitors	v ɪ z ɪ t ə ɹ z
doable	d uː ə b ə l
manager	m æ n ə dʒ ə ɹ
managed	m æ n ə dʒ d
knights	n aɪ t s
armored	ɑ ɹ m ə ɹ d
allowed	ə l aʊ d
studio	s t uː d iː oʊ
workable	w ɜː k ə b ə l
visor	v aɪ z ə ɹ
dawdling	d ɔ d l ɪ ŋ
hobby	h ɑ b iː
pleasing	p l iː z ɪ ŋ
create	k ɹ iː eɪ t
distract	d ɪ s t ɹ æ k t
bitter	b ɪ t ə ɹ
kentucky	k ə n t ʌ k iː
donna	d ɑ n ə
chubbiest	tʃ ʌ b ɪ ɪ s t
caves	k eɪ v z
noisiest	n ɔɪ z iː ə s t
tunnels	t ʌ n ə l z
shelves	ʃ ɛ l v z
wedding	w ɛ d ɪ ŋ
burst	b ɜː s t
instant	ɪ n s t ə n t
continued	k ə n t ɪ n j uː d
niece's	n iː s ɪ z
reservation	ɹ ɛ z ə ɹ v eɪ ʃ ə n
nodded	n ɑ d ə d
artists	ɑ ɹ t ɪ s t s
pleased	p l iː z d
title	t aɪ t ə l
amazement	ə m eɪ z m ə n t
inspiration	ɪ n s p ə ɹ eɪ ʃ ə n
suggested	s ə dʒ ɛ s t ɪ d
pasted	p eɪ s t ɪ d
ripping	ɹ ɪ p ɪ ŋ
printed	p ɹ ɪ n t ɪ d
stripping	s t ɹ ɪ p ɪ ŋ
interest	ɪ n t ɹ ə s t
fitting	f ɪ t ɪ ŋ
footballs	f ʊ t b ɔ l z
canada	k æ n ə d ə
sculptors	s k ʌ l p t ə ɹ z
eagerly	iː ɡ ə ɹ l iː
handing	h æ n d ɪ ŋ
worth	w ɜː θ
chef's	ʃ ɛ f s
michigan	m ɪ ʃ ɪ ɡ ə n
nickel	n ɪ k ə l
treats	t ɹ iː t s
stuff's	s t ʌ f s
ariel	ɛ ɹ iː ə l
safer	s eɪ f ə ɹ
craft	k ɹ æ f t
contestants	k ə n t ɛ s t ə n t s
removing	ɹ iː m uː v ɪ ŋ
echoed	ɛ k oʊ d
particularly	p ɑ ɹ t ɪ k j ə l ə ɹ l iː
forgotten	f ə ɹ ɡ ɑ t ə n
jus	dʒ uː
thousandth	θ aʊ z ə n d θ
buses	b ʌ s ɪ z
trolleys	t ɹ ɑ l iː z
mourning	m ɔ ɹ n ɪ ŋ
laden	l eɪ d ə n
staggered	s t æ ɡ ə ɹ d
markets	m ɑ ɹ k ə t s
chestnut	tʃ ɛ s n ʌ t
candied	k æ n d iː d
ballerinas	b æ l ə ɹ iː n ə z
chestnuts	tʃ ɛ s n ə t s
gallery	ɡ æ l ə ɹ iː
meanwhile	m iː n w aɪ l
judging	dʒ ʌ dʒ ɪ ŋ
judges	dʒ ʌ dʒ ɪ z
examined	ɪ ɡ z æ m ə n d
id	ɪ d
deserved	d ɪ z ɜː v d
floats	f l oʊ t s
huddled	h ʌ d ə l d
gradually	ɡ ɹ æ dʒ uː ə l iː
creation	k ɹ iː eɪ ʃ ə n
director	d ə ɹ ɛ k t ə ɹ
amok	ə m ʌ k
blend	b l ɛ n d
snatcher	s n æ tʃ ə ɹ
forced	f ɔ ɹ s t
jif	dʒ ɪ f
investigate	ɪ n v ɛ s t ə ɡ eɪ t
nearly	n ɪ ɹ l iː
strangest	s t ɹ eɪ n dʒ ɪ s t
whoever	h uː ɛ v ə ɹ
tending	t ɛ n d ɪ ŋ
sweeter	s w iː t ə ɹ
removed	ɹ iː m uː v d
gloomily	ɡ l uː m ə l iː
fled	f l ɛ d
transcribing	t ɹ æ n s k ɹ aɪ b ɪ ŋ
whiff	w ɪ f
snatch	s n æ tʃ
purposes	p ɜː p ə s ə z
rascal	ɹ æ s k ə l
mambo	m ɑ m b oʊ
refuel	ɹ iː f j uː ə l
carbs	k ɑ ɹ b z
seagulls	s iː ɡ ʌ l z
tootsies	t ʊ t s ɪ z
footsie	f ʊ t s ɪ
jail	dʒ eɪ l
waterman	w ɔ t ə ɹ m ə n
riddles	ɹ ɪ d ə l z
cheering	tʃ ɪ ɹ ɪ ŋ
bamboozled	b æ m b uː z l d
platform	p l æ t f ɔ ɹ m
dental	d ɛ n t ə l
bitty	b ɪ t iː
winner	w ɪ n ə ɹ
judge	dʒ ʌ dʒ
daring	d ɛ ɹ ɪ ŋ
midget	m ɪ dʒ ə t
massachusetts	m æ s ə tʃ uː s ə t s
dreamed	d ɹ iː m d
stare	s t ɛ ɹ
breathing	b ɹ iː ð ɪ ŋ
penis	p iː n ɪ s
menorah	m ə n ɔ ɹ ə
promptly	p ɹ ɑ m p t l iː
secular	s ɛ k j ə l ə ɹ
armor	ɑ ɹ m ə ɹ
bothered	b ɑ ð ə ɹ d
duffel	d ʌ f ə l
hunt	h ʌ n t
haired	h ɛ ɹ d
tour	t ʊ ɹ
deserve	d ɪ z ɜː v
vagina	v ə dʒ aɪ n ə
hearted	h ɑ ɹ t ə d
booing	b uː ɪ ŋ
freeman	f ɹ iː m ə n
shortly	ʃ ɔ ɹ t l iː
when's	w ɛ n z
crikey	k ɹ aɪ k ɪ
glanced	ɡ l æ n s t
gaze	ɡ eɪ z
jonathan's	dʒ ɑ n ə θ ə n z
gasp	ɡ æ s p
odd	ɑ d
heaving	h iː v ɪ ŋ
bulge	b ʌ l dʒ
scattering	s k æ t ə ɹ ɪ ŋ
labor	l eɪ b ə ɹ
tasted	t eɪ s t ɪ d
geography	dʒ iː ɑ ɡ ɹ ə f iː
swam	s w æ m
familiar	f ə m ɪ l j ə ɹ
booz	b uː z
schools	s k uː l z
blonde	b l ɑ n d
convincing	k ə n v ɪ n s ɪ ŋ
icy	aɪ s iː
scowl	s k aʊ l
personality	p ɜː s ə n æ l ɪ t iː
briggs	b ɹ ɪ ɡ z
punched	p ʌ n tʃ t
senor	s iː n j ɔ ɹ
astonishment	ə s t ɑ n ɪ ʃ m ə n t
punching	p ʌ n tʃ ɪ ŋ
scientist	s aɪ ə n t ɪ s t
microscope	m aɪ k ɹ ə s k oʊ p
musician	m j uː z ɪ ʃ ə n
baggie	b æ ɡ iː
frozen	f ɹ oʊ z ə n
wobbly	w ɑ b ə l iː
enjoyed	ɛ n dʒ ɔɪ d
adopting	ə d ɑ p t ɪ ŋ
riddance	ɹ ɪ d ə n s
digital	d ɪ dʒ ə t ə l
snores	s n ɔ ɹ z
loses	l uː z ə z
pronounce	p ɹ ə n aʊ n s
british	b ɹ ɪ t ɪ ʃ
librarian	l aɪ b ɹ ɛ ɹ iː ə n
biscuits	b ɪ s k ə t s
shocking	ʃ ɑ k ɪ ŋ
receding	ɹ ɪ s iː d ɪ ŋ
snow's	s n oʊ z
babar	b ɑ b ɑ ɹ
don's	d ɑ n z
option	ɑ p ʃ ə n
celeste	s ə l ɛ s t
maps	m æ p s
hyena	h aɪ iː n ə
neighbors	n eɪ b ə ɹ z
cages	k eɪ dʒ ɪ z
toddlers	t ɑ d l ə ɹ z
article	ɑ ɹ t ə k ə l
veterinarian	v ɛ t ɹ ə n ɛ ɹ iː ə n
saam	s ɑ m
phones	f oʊ n z
opted	ɑ p t ɪ d
keepers	k iː p ə ɹ z
yesterday's	j ɛ s t ə ɹ d eɪ z
ronny	ɹ ɑ n iː
nights	n aɪ t s
inappropriate	ɪ n ə p ɹ oʊ p ɹ iː ɪ t
appropriate	ə p ɹ oʊ p ɹ iː ə t
marbles	m ɑ ɹ b ə l z
deny	d ɪ n aɪ
friend's	f ɹ ɛ n d z
marches	m ɑ ɹ tʃ ɪ z
honda	h ɔ n d ə
oreo	ɔ ɹ iː oʊ
smooths	s m uː ð z
steamroller	s t iː m ɹ oʊ l ə ɹ
fibbing	f ɪ b ɪ ŋ
sunlight	s ʌ n l aɪ t
glowed	ɡ l oʊ d
outline	aʊ t l aɪ n
honeydew	h ʌ n iː d uː
russia	ɹ ʌ ʃ ə
ti	t iː
flounder	f l aʊ n d ə ɹ
repeating	ɹ ɪ p iː t ɪ ŋ
context	k ɑ n t ɛ k s t
developmental	d ɪ v ɛ l ə p m ɛ n t ə l
outdoors	aʊ t d ɔ ɹ z
sparrows	s p ɛ ɹ oʊ z
sentences	s ɛ n t ə n s ə z
middles	m ɪ d l z
nonexistent	n ɑ n ə ɡ z ɪ s t ə n t
bedding	b ɛ d ɪ ŋ
lightest	l aɪ t ə s t
clamming	k l æ m ɪ ŋ
disconcerting	d ɪ s k ə n s ɜː t ɪ ŋ
boa	b oʊ ə
halter	h ɔ l t ə ɹ
raspberries	ɹ æ z b ɛ ɹ iː z
season	s iː z ə n
worrisome	w ɜː iː s ə m
spears	s p ɪ ɹ z
britney	b ɹ iː t n iː
drunk	d ɹ ʌ ŋ k
scheduled	s k ɛ dʒ ʊ l d
area	ɛ ɹ iː ə
lime	l aɪ m
steve's	s t iː v z
lai	l aɪ
tiring	t aɪ ɹ ɪ ŋ
muddle	m ʌ d ə l
mere	m ɪ ɹ
dodo	d oʊ d oʊ
refer	ɹ ə f ɜː
pennsylvania	p ɛ n s ə l v eɪ n j ə
scooting	s k uː t ɪ ŋ
hysterically	h ɪ s t ɛ ɹ ɪ k l iː
pastels	p æ s t ɛ l z
chalky	tʃ ɔ k ɪ
sobbed	s ɑ b d
gazing	ɡ eɪ z ɪ ŋ
buzzed	b ʌ z d
occasion	ə k eɪ ʒ ə n
spying	s p aɪ ɪ ŋ
insects	ɪ n s ɛ k t s
plump	p l ʌ m p
referred	ɹ ə f ɜː d
would've	w ʊ d ə v
orchestra	ɔ ɹ k ə s t ɹ ə
sly	s l aɪ
jugs	dʒ ʌ ɡ z
primary	p ɹ aɪ m ɛ ɹ iː
goldfinch	ɡ oʊ l d f ɪ n tʃ
darlings	d ɑ ɹ l ɪ ŋ z
stepsisters	s t ɛ p s ɪ s t ə ɹ z
stepmother	s t ɛ p m ʌ ð ə ɹ
bernie	b ɜː n iː
bittle	b ɪ t ə l
whisked	w ɪ s k t
stepsister	s t ɛ p s ɪ s t ə ɹ
invite	ɪ n v aɪ t
messenger	m ɛ s ə n dʒ ə ɹ
recycled	ɹ iː s aɪ k ə l d
humongous	h j uː m ɔ ŋ ɡ ə s
karen	k ɛ ɹ ə n
ultra	ʌ l t ɹ ə
jealous	dʒ ɛ l ə s
swirled	s w ɜː l d
sparkling	s p ɑ ɹ k l ɪ ŋ
wept	w ɛ p t
beluga	b ɪ l uː ɡ ə
developed	d ɪ v ɛ l ə p t
gentlemen	dʒ ɛ n t ə l m ɪ n
ladies	l eɪ d iː z
upper	ʌ p ə ɹ
rags	ɹ æ ɡ z
grunt	ɡ ɹ ʌ n t
grunts	ɡ ɹ ʌ n t s
received	ɹ ə s iː v d
roping	ɹ oʊ p ɪ ŋ
other's	ʌ ð ə ɹ z
halls	h ɔ l z
saddle	s æ d ə l
woken	w oʊ k ə n
marry	m ɛ ɹ iː
prince's	p ɹ ɪ n s ɪ z
wicked	w ɪ k ə d
maiden	m eɪ d ə n
duke	d uː k
white's	w aɪ t s
adjusting	ə dʒ ʌ s t ɪ ŋ
fairest	f ɛ ɹ ɪ s t
howdy	h aʊ d iː
winked	w ɪ ŋ k t
pupils	p j uː p ə l z
greetings	ɡ ɹ iː t ɪ ŋ z
asparagus	ə s p ɛ ɹ ə ɡ ə s
desks	d ɛ s k s
semicircle	s ɛ m ɪ s ɜː k l
rodents	ɹ oʊ d ə n t s
handsome	h æ n s ə m
courtyard	k ɔ ɹ t j ɑ ɹ d
risk	ɹ ɪ s k
cautious	k ɔ ʃ ə s
underwhelmed	ʌ n d ə ɹ w ɛ l m d
expecting	ɪ k s p ɛ k t ɪ ŋ
finch	f ɪ n tʃ
encyclopedias	ɪ n s aɪ k l ə p iː d iː ə z
chipmunks	tʃ ɪ p m ə ŋ k s
diva	d iː v ə
trike	t ɹ aɪ k
spoke	s p oʊ k
voices	v ɔɪ s ə z
tickler	t ɪ k l ə ə ɹ
companions	k ə m p æ n j ə n z
bulb	b ʌ l b
permitted	p ə ɹ m ɪ t ɪ d
antlers	æ n t l ə ɹ z
dwarfs	d w ɔ ɹ f s
hazel	h eɪ z ə l
sow	s aʊ
greyish	ɡ ɹ eɪ ɪ ʃ
bluish	b l uː ɪ ʃ
hag	h æ ɡ
potion	p oʊ ʃ ə n
erasers	ɪ ɹ eɪ s ə ɹ z
volunteered	v ɑ l ə n t ɪ ɹ d
love's	l ʌ v z
cure	k j ʊ ɹ
poisoned	p ɔɪ z ə n d
dunkin	d ʌ ŋ k ɪ n
recognized	ɹ ɛ k ə ɡ n aɪ z d
peddler	p ɛ d l ə ɹ
diamonds	d aɪ m ə n d z
glittery	ɡ l ɪ t ə ɹ iː
jaunty	dʒ ɔ n t iː
quarters	k w ɔ ɹ t ə ɹ z
evil	iː v ə l
mountaintop	m aʊ n t ə n t ɑ p
cliff	k l ɪ f
associates	ə s oʊ s iː ə t s
awakened	ə w eɪ k ə n d
considerate	k ə n s ɪ d ə ɹ ə t
scuba	s k uː b ə
powerful	p aʊ ə ɹ f ə l
preference	p ɹ ɛ f ə ɹ ə n s
aurora	ə ɹ ɔ ɹ ə
philip	f ɪ l ə p
ruled	ɹ uː l d
hubert	h j uː b ə ɹ t
kingdoms	k ɪ ŋ d ə m z
unite	j uː n aɪ t
kings	k ɪ ŋ z
chester	tʃ ɛ s t ə ɹ
celebration	s ɛ l ə b ɹ eɪ ʃ ə n
diagonally	d aɪ æ ɡ ə n ə l iː
fauna	f ɔ n ə
fairies	f ɛ ɹ iː z
upp	ʌ p
knotting	n ɑ t ɪ ŋ
gifts	ɡ ɪ f t s
primarily	p ɹ aɪ m ɛ ɹ ə l iː
aid	eɪ d
miniature	m ɪ n iː ə tʃ ʊ ɹ
curse	k ɜː s
spindle	s p ɪ n d ə l
sixteenth	s ɪ k s t iː n θ
die	d aɪ
peasants	p ɛ z ə n t s
transform	t ɹ æ n s f ɔ ɹ m
swung	s w ʌ ŋ
signals	s ɪ ɡ n ə l z
ended	ɛ n d ə d
rarely	ɹ ɛ ɹ l iː
wilson's	w ɪ l s ə n z
globes	ɡ l oʊ b z
definition	d ɛ f ə n ɪ ʃ ə n
providing	p ɹ ə v aɪ d ɪ ŋ
charmer	tʃ ɑ ɹ m ə ɹ
accidentally	æ k s ə d ɛ n t ə l iː
lilly	l ɪ l iː
victor	v ɪ k t ə ɹ
duplicated	d uː p l ɪ k eɪ t ɪ d
strangers	s t ɹ eɪ n dʒ ə ɹ z
warned	w ɔ ɹ n d
deluxe	d ə l ʌ k s
lilacs	l aɪ l æ k s
sparklers	s p ɑ k l ə z
raven	ɹ eɪ v ə n
creatively	k ɹ iː eɪ t ɪ v l iː
expressed	ɪ k s p ɹ ɛ s t
nan	n æ n
forbidden	f ɔ ɹ b ɪ d ə n
azaleas	ə z eɪ l j ə z
stranger	s t ɹ eɪ n dʒ ə ɹ
wu	w uː
creations	k ɹ iː eɪ ʃ ə n z
raked	ɹ eɪ k t
pricked	p ɹ ɪ k t
obeyed	oʊ b eɪ d
powerless	p aʊ ə ɹ l ə s
commanded	k ə m æ n d ɪ d
trance	t ɹ æ n s
dungeon	d ʌ n dʒ ə n
virtue	v ɜː tʃ uː
shield	ʃ iː l d
triumph	t ɹ aɪ ə m f
righteousness	ɹ aɪ tʃ ə s n ə s
weapons	w ɛ p ə n z
blasted	b l æ s t ə d
plunged	p l ʌ n dʒ d
knelt	n ɛ l t
disguises	d ɪ s ɡ aɪ z ɪ z
clippers	k l ɪ p ə ɹ z
begonias	b ɪ ɡ oʊ n j ə z
lata	l ɑ t ə
whining	w aɪ n ɪ ŋ
information	ɪ n f ə ɹ m eɪ ʃ ə n
storing	s t ɔ ɹ ɪ ŋ
mercury	m ɜː k j ə ɹ iː
amount	ə m aʊ n t
bearing	b ɛ ɹ ɪ ŋ
mayonnaise	m eɪ ə n eɪ z
circled	s ɜː k ə l d
lilly's	l ɪ l iː z
furious	f j ʊ ɹ iː ə s
bran	b ɹ æ n
oat	oʊ t
sneaked	s n iː k t
charming	tʃ ɑ ɹ m ɪ ŋ
louis	l uː ɪ s
dr	d ɹ aɪ v
fangs	f æ ŋ z
fierce	f ɪ ɹ s
adamant	æ d ə m ə n t
guilty	ɡ ɪ l t iː
disguise	d ɪ s ɡ aɪ z
guide	ɡ aɪ d
kee	k iː
sampled	s æ m p ə l d
pentagons	p ɛ n t ɪ ɡ ɑ n z
cocktail	k ɑ k t eɪ l
ounce	aʊ n s
ounces	aʊ n s ə z
sherbet	ʃ ɜː b ə t
hexagons	h ɛ k s ə ɡ ə n z
confuse	k ə n f j uː z
female	f iː m eɪ l
recommending	ɹ ɛ k ə m ɛ n d ɪ ŋ
props	p ɹ ɑ p s
interpretive	ɪ n t ɜː p ɹ ə t ɪ v
eighty	eɪ t iː
soul	s oʊ l
pregnancy	p ɹ ɛ ɡ n ə n s iː
related	ɹ ɪ l eɪ t ɪ d
kites	k aɪ t s
development	d ɪ v ɛ l ə p m ə n t
affect	ə f ɛ k t
mars	m ɑ ɹ z
potentially	p ə t ɛ n ʃ ə l iː
swordfish	s ɔ ɹ d f ɪ ʃ
canned	k æ n d
newscasters	n uː z k æ s t ə ɹ z
fifties	f ɪ f t iː z
frank	f ɹ æ ŋ k
professor	p ɹ ə f ɛ s ə ɹ
guacamole	ɡ w ɑ k ə m oʊ l iː
flyer	f l aɪ ə ɹ
suggesting	s ə dʒ ɛ s t ɪ ŋ
truthfully	t ɹ uː θ f ə l iː
section	s ɛ k ʃ ə n
impressive	ɪ m p ɹ ɛ s ɪ v
burrito	b ə ɹ iː t oʊ
sweatshirt	s w ɛ t ʃ ɜː t
wayward	w eɪ w ə ɹ d
destruct	d ɪ s t ɹ ʌ k t
indianapolis	ɪ n d iː ə n æ p ə l ɪ s
ex	ɛ k s
renovated	ɹ ɛ n ə v eɪ t ɪ d
scandalous	s k æ n d ə l ə s
residential	ɹ ɛ z ɪ d ɛ n ʃ ə l
responsibility	ɹ iː s p ɑ n s ə b ɪ l ə t iː
deaf	d ɛ f
transcriber	t ɹ æ n s k ɹ aɪ b ə ɹ
comings	k ʌ m ɪ ŋ z
colon	k oʊ l ə n
lighting	l aɪ t ɪ ŋ
decent	d iː s ə n t
isabelle	ɪ z ə b ɛ l
vik	v ɪ k
lookin'	l ʊ k ɪ n
foal	f oʊ l
bore	b ɔ ɹ
ville	v ɪ l
snuck	s n ʌ k
virginia's	v ə ɹ dʒ ɪ n j ə z
howard	h aʊ ə ɹ d
matthew's	m æ θ j uː z
skiing	s k iː ɪ ŋ
nebraska's	n ə b ɹ æ s k ə z
alaska's	ə l æ s k ə z
canyon	k æ n j ə n
workin'	w ɜː k ə n
yellowstone	j ɛ l oʊ s t oʊ n
stoops	s t uː p s
geysers	ɡ aɪ z ə ɹ z
stoop	s t uː p
uno	ə n oʊ
exploring	ɪ k s p l ɔ ɹ ɪ ŋ
diez	d aɪ ə z
dings	d ɪ ŋ z
research	ɹ iː s ɜː tʃ
products	p ɹ ɑ d ə k t s
babar's	b ɑ b ɑ ɹ z
mainland	m eɪ n l æ n d
gambling	ɡ æ m b ə l ɪ ŋ
avocados	æ v ə k ɑ d oʊ z
walnut	w ɔ l n ʌ t
despite	d ɪ s p aɪ t
disciplined	d ɪ s ə p l ə n d
gaspar	ɡ æ s p ə ɹ
formal	f ɔ ɹ m ə l
arch	ɑ ɹ tʃ
interview	ɪ n t ə ɹ v j uː
contemporary	k ə n t ɛ m p ə ɹ ɛ ɹ iː
major	m eɪ dʒ ə ɹ
snobby	s n ɑ b iː
rushmore	ɹ ʌ ʃ m ɔ ɹ
carve	k ɑ ɹ v
column	k ɑ l ə m
writes	ɹ aɪ t s
boyfriend	b ɔɪ f ɹ ɛ n d
telemarketer	t ɛ l ə m ɑ ɹ k ɪ t ə ɹ
arguing	ɑ ɹ ɡ j uː ɪ ŋ
stretcher	s t ɹ ɛ tʃ ə ɹ
public	p ʌ b l ɪ k
meetings	m iː t ɪ ŋ z
moon's	m uː n z
unbelievable	ʌ n b ə l iː v ə b ə l
barley	b ɑ ɹ l iː
peaked	p iː k t
darla	d ɑ ɹ l ə
constant	k ɑ n s t ə n t
shimmy	ʃ ɪ m iː
luckiest	l ʌ k iː ə s t
cupboard	k ʌ b ə ɹ d
hubbard	h ʌ b ə ɹ d
buttered	b ʌ t ə ɹ d
period	p ɪ ɹ iː ə d
bunting	b ʌ n t ɪ ŋ
bo	b oʊ
blouse	b l aʊ s
appreciate	ə p ɹ iː ʃ iː eɪ t
version	v ɜː ʒ ə n
staccato	s t ə k ɑ t oʊ
gutter	ɡ ʌ t ə ɹ
drain	d ɹ eɪ n
massive	m æ s ɪ v
exterior	ɪ k s t ɪ ɹ iː ə ɹ
dunk	d ʌ ŋ k
mermaid	m ɜː m eɪ d
noble	n oʊ b ə l
presided	p ɹ ɪ z aɪ d ɪ d
mer	m ɛ ɹ
bustling	b ʌ s ə l ɪ ŋ
triton	t ɹ aɪ t ə n
youngest	j ʌ ŋ ɡ ə s t
forbade	f ə ɹ b eɪ d
human	h j uː m ə n
scuttle	s k ʌ t ə l
seagull	s iː ɡ ʌ l
worm's	w ɜː m z
trashier	t ɹ æ ʃ iː ə ə ɹ
eric	ɛ ɹ ɪ k
lightening	l aɪ t ə n ɪ ŋ
boomed	b uː m d
jagged	dʒ æ ɡ d
vessel	v ɛ s ə l
sails	s eɪ l z
ship's	ʃ ɪ p s
beet	b iː t
frantically	f ɹ æ n t ə k ə l iː
buttercup	b ʌ t ə ɹ k ʌ p
unconscious	ʌ n k ɑ n ʃ ə s
groggily	ɡ ɹ ɑ ɡ ɪ l ɪ
servant	s ɜː v ə n t
awaken	ə w eɪ k ə n
hygiene	h aɪ dʒ iː n
bras	b ɹ æ s
destroying	d ɪ s t ɹ ɔɪ ɪ ŋ
undoing	ə n d uː ɪ ŋ
crystal	k ɹ ɪ s t ə l
image	ɪ m ə dʒ
collected	k ə l ɛ k t ə d
sought	s ɔ t
exchange	ɪ k s tʃ eɪ n dʒ
sunset	s ʌ n s ɛ t
penises	p iː n ɪ s ɪ z
slave	s l eɪ v
biggie	b ɪ ɡ iː
containing	k ə n t eɪ n ɪ ŋ
awoke	ə w oʊ k
deborah	d ɛ b ə ɹ ə
interrupt	ɪ n t ə ɹ ʌ p t
locket	l ɑ k ɪ t
opener	oʊ p ə n ə ɹ
yawns	j ɔ n z
franklin	f ɹ æ ŋ k l ɪ n
agreed	ə ɡ ɹ iː d
freedom	f ɹ iː d ə m
daughter's	d ɔ t ə ɹ z
raging	ɹ eɪ dʒ ɪ ŋ
monstrously	m ɑ n s t ɹ ə s l ɪ
maam	m ʌ m
pierced	p ɪ ɹ s t
bough	b aʊ
restored	ɹ ɪ s t ɔ ɹ d
concert	k ɑ n s ə ɹ t
sunken	s ʌ ŋ k ə n
lighthouse	l aɪ t h aʊ s
bully	b ʊ l iː
distance	d ɪ s t ə n s
maurice	m ɔ ɹ iː s
ballroom	b ɔ l ɹ uː m
philippe	f ɪ l iː p eɪ
stormed	s t ɔ ɹ m d
marriage	m ɛ ɹ ɪ dʒ
propose	p ɹ ə p oʊ z
hunter	h ʌ n t ə ɹ
local	l oʊ k ə l
gaston	ɡ æ s t ə n
conceited	k ə n s iː t ə d
sebastian	s ə b æ s tʃ ə n
rider	ɹ aɪ d ə ɹ
conducting	k ə n d ʌ k t ɪ ŋ
braving	b ɹ eɪ v ɪ ŋ
disastrous	d ɪ z æ s t ɹ ə s
quills	k w ɪ l z
poof	p uː f
humps	h ʌ m p s
convince	k ə n v ɪ n s
sweating	s w ɛ t ɪ ŋ
panting	p æ n t ɪ ŋ
unavailable	ʌ n ə v eɪ l ə b ə l
jasmine	dʒ æ z m ə n
genie	dʒ iː n iː
capes	k eɪ p s
honor	ɑ n ə ɹ
excitedly	ɪ k s aɪ t ə d l iː
stabbed	s t æ b d
embraced	ɛ m b ɹ eɪ s t
unnecessary	ə n n ɛ s ə s ɛ ɹ iː
ironing	aɪ ə ɹ n ɪ ŋ
mending	m ɛ n d ɪ ŋ
shrieks	ʃ ɹ iː k s
sturdy	s t ɜː d iː
servants	s ɜː v ə n t s
household	h aʊ s h oʊ l d
cruel	k ɹ uː ə l
anastasia	æ n ə s t eɪ ʒ ə
screeched	s k ɹ iː tʃ t
mend	m ɛ n d
rosella	ɹ oʊ z ɛ l ə
whined	w aɪ n d
demanded	d ɪ m æ n d ə d
cloak	k l oʊ k
dwarves	d w ɔ ɹ v z
quickest	k w ɪ k ɪ s t
manage	m æ n ə dʒ
troll	t ɹ oʊ l
suspenders	s ə s p ɛ n d ə ɹ z
possums	p ɑ s ə m z
dwarf	d w ɔ ɹ f
riddle	ɹ ɪ d ə l
solve	s ɑ l v
patting	p æ t ɪ ŋ
